,BuildingType,PrimaryPropertyType,PropertyName,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,Latitude,Longitude,TotalGHGEmissions,SiteEnergyUse(kBtu)
0,NonResidential,Hotel,MAYFLOWER PARK HOTEL,7,downtown,1927,1.0,12.0,0,88434,Hotel,Hotel,88434.0,65.0,47.61219025,-122.33799744,249.43,6981428.0
1,NonResidential,Hotel,PARAMOUNT HOTEL,7,downtown,1996,1.0,11.0,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,51.0,47.61310583,-122.33335756,263.51,8354235.0
4,NonResidential,Hotel,WARWICK SEATTLE HOTEL,7,downtown,1980,1.0,18.0,12460,107430,"Hotel, Parking, Swimming Pool",Hotel,123445.0,67.0,47.6137544,-122.34092379999998,507.7,14829099.0
5,Nonresidential COS,Other,WEST PRECINCT (SEATTLE POLICE),7,downtown,1999,1.0,2.0,37198,60090,Police Station,Police Station,88830.0,,47.6164389,-122.33676431,304.62,12051984.0
6,NonResidential,Hotel,CAMLIN WORLDMARK HOTEL,7,downtown,1926,1.0,11.0,0,83008,Hotel,Hotel,81352.0,25.0,47.6141141,-122.33274086,208.46,6252842.0
7,NonResidential,Other,PARAMOUNT THEATER,7,downtown,1926,1.0,8.0,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,47.61290234,-122.33130949,199.99,6426022.0
8,NonResidential,Hotel,COURTYARD BY MARRIOTT - ALASKA BLDG SEATTLE,7,downtown,1904,1.0,15.0,0,163984,Hotel,Hotel,163984.0,46.0,47.60258934,-122.33255325,331.61,12633744.0
9,Multifamily MR (5-9),Mid-Rise Multifamily,LYON BUILDING,7,downtown,1910,1.0,6.0,1496,62216,Multifamily Housing,Multifamily Housing,56132.0,2.0,47.60278416,-122.33214887,170.0,4587231.0
10,NonResidential,Hotel,HOTEL MONACO,7,downtown,1969,1.0,11.0,19279,133884,,,,48.0,47.60712147,-122.33431932,576.63,14719853.0
11,NonResidential,Hotel,W SEATTLE HOTEL,7,downtown,1998,1.0,25.0,61161,272015,Hotel,Hotel,336640.0,32.0,47.60718204,-122.33347215,723.4,27717026.0
12,NonResidential,Hotel,EXECUTIVE PACIFIC PLAZA,7,downtown,1928,1.0,9.0,0,65009,Hotel,Hotel,65009.0,39.0,47.60709939,-122.33310536,334.87,6807227.0
13,NonResidential,Hotel,CROWNE PLAZA,7,downtown,1980,1.0,33.0,57600,258352,"Hotel, Parking",Hotel,295511.0,56.0,47.60809326,-122.33211517,675.34,22811690.0
14,NonResidential,Hotel,HOTEL VINTAGE PARK,7,downtown,1922,1.0,11.0,0,67390,,,,14.0,47.60761642,-122.3323288,486.25,10711451.0
15,Nonresidential COS,Other,SEATTLE CENTRAL LIBRARY,7,downtown,2004,1.0,11.0,57000,355000,"Data Center, Library, Parking",Library,364913.0,,47.60667501,-122.33226425,166.84,16849234.0
16,NonResidential,Other,DOWNTOWN SEATTLE YMCA,7,downtown,1930,1.0,6.0,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,,47.60544586,-122.33280182,411.09,10340282.0
17,NonResidential,Hotel,RENAISSANCE MADISON HOTEL,7,downtown,1983,1.0,28.0,85000,331281,"Hotel, Parking",Hotel,348329.0,30.0,47.60656003,-122.33063632,755.12,33270518.0
18,NonResidential,Mixed Use Property,RAINIER CLUB (HISTORICAL LANDMARK),7,downtown,1907,1.0,5.0,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,,47.60552597,-122.33163032,265.5,7481768.0
19,NonResidential,Hotel,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,7,downtown,1916,1.0,10.0,0,104352,,,,83.0,47.60397899,-122.33205759999998,411.22,7845112.0
22,SPS-District K-12,K-12 School,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),2,southeast,1961,1.0,2.0,0,56228,K-12 School,K-12 School,58320.0,96.0,47.54570136,-122.26858429999999,35.17,1454222.0
23,NonResidential,Hotel,WATERTOWN HOTEL,4,northeast,2001,1.0,6.0,30586,58006,"Hotel, Parking",Hotel,58006.0,85.0,47.65953281,-122.31739250000001,102.08,3880806.0
24,NonResidential,College/University,Cornish (Main Campus Center),7,downtown,1928,1.0,7.0,0,126593,College/University,College/University,125000.0,,47.61839333,-122.33692920000001,308.6,9791557.0
25,NonResidential,Other,SEATTLE HONDA,7,downtown,1930,1.0,2.0,0,67224,Automobile Dealership,Automobile Dealership,67224.0,,47.61490582,-122.33040102,9.68,1388717.0
26,NonResidential,Hotel,HOMEWOOD SUITES -SEATTLE - Hilton,7,east,1991,1.0,8.0,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,,47.61300278,-122.32923126,249.43,5159342.0
27,NonResidential,Hotel,SPRINGHILL SUITES SEATTLE DOWNTOWN,7,downtown,2001,1.0,10.0,38281,133585,Hotel,Hotel,128909.0,20.0,47.61806905,-122.33005445,319.73,11026945.0
28,SPS-District K-12,K-12 School,MEANY MIDDLE SCHOOL (SPS-DISTRICT),3,central,1955,1.0,1.0,0,126351,K-12 School,K-12 School,126351.0,57.0,47.62309371,-122.30538870000001,244.51,6283226.0
29,NonResidential,Hotel,Hotel Five,7,downtown,1978,1.0,5.0,16200,52210,Hotel,Hotel,47994.0,60.0,47.61587049,-122.34197968,125.57,4341706.0
30,SPS-District K-12,K-12 School,JANE ADAMS JUNIOR HIGH (SPS-DISTRICT),5,north,1949,1.0,2.0,0,160645,K-12 School,K-12 School,164229.0,80.0,47.71011498,-122.29379175,260.37,6387710.0
31,SPS-District K-12,K-12 School,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),7,magnolia / queen anne,1989,1.0,2.0,0,51582,K-12 School,K-12 School,55166.0,94.0,47.63303191,-122.35245717,10.27,1472548.0
32,NonResidential,Small- and Mid-Sized Office,HOUSE OF GOOD SHEPHERD,4,lake union,1906,1.0,3.0,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,,47.66391557,-122.33172174,149.39,3988729.0
33,NonResidential,Hotel,SILVER CLOUD INN UNIVERSITY,4,northeast,1994,1.0,4.0,0,81871,Hotel,Hotel,81871.0,20.0,47.66585193,-122.29889419,243.37,7419765.0
34,NonResidential,"Self-Storage Facility
",QFC / SHURGARD MINI STORAGE / LIQUOR STORE,4,northeast,1955,1.0,2.0,0,126394,Self-Storage Facility,Self-Storage Facility,26225.0,77.0,47.66270326,-122.29612323,3.71,306721.0
35,NonResidential,Distribution Center,SEATTLE WAREHOUSE OFFICE BUILDING,2,greater duwamish,1961,7.0,2.0,0,714095,,,,1.0,47.5106034,-122.29027588,333.54,47843892.0
36,SPS-District K-12,K-12 School,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),7,magnolia / queen anne,1990,1.0,2.0,0,54986,K-12 School,K-12 School,54986.0,91.0,47.65726207,-122.39065097,28.78,1655612.0
37,SPS-District K-12,K-12 School,ECKSTEIN MIDDLE (SPS-DISTRICT),4,northeast,1950,1.0,2.0,0,175565,K-12 School,K-12 School,182861.0,88.0,47.68245037,-122.29393540000001,258.67,6227419.0
38,NonResidential,Small- and Mid-Sized Office,SALMON BAY CENTER 5305 & 5309,6,ballard,1961,1.0,2.0,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586.0,57.0,47.66580963,-122.3860321,123.08,6043853.0
39,NonResidential,Small- and Mid-Sized Office,EL CENTRO DE LA RAZA,2,greater duwamish,1900,1.0,2.0,0,52554,"Office, Other - Education",Office,51029.0,93.0,47.58002948,-122.31181286,56.97,2137686.0
40,NonResidential,K-12 School,BLANCHET HIGH SCHOOL,6,northwest,1954,1.0,3.0,0,175015,K-12 School,K-12 School,175015.0,95.0,47.68894837,-122.33616192,251.72,7080118.0
